productName;productSlug;productDescription;sku;price;currencyCode;optionGroups;optionValues
HIGH TEMPERATURE PAINT MACOTA COLOR GOLD 08708 - 400 ML;high-temperature-paint-macota-color-gold-08708-400-ml;;PC0-08708;2300;EUR;Color;Color:HIGH TEMPERATURE PAINT MACOTA COLOR GOLD 08708 - 400 ML
HIGH TEMPERATURE PAINT MACOTA COLOR SILVER 08108 - 400 ML;high-temperature-paint-macota-color-silver-08108-400-ml;;PC0-08108;2300;EUR;Color;Color:HIGH TEMPERATURE PAINT MACOTA COLOR SILVER 08108 - 400 ML
SMOKED PAINT FOR LIGHTS MACOTA COLOR BLACK 42123 - 400 ML;smoked-paint-for-lights-macota-color-black-42123-400-ml;;PC0-42123;2100;EUR;Color;Color:SMOKED PAINT FOR LIGHTS MACOTA COLOR BLACK 42123 - 400 ML
FHR CLUB SERIES 3 20° M;fhr-club-series-3-20-m;;2410001;30750;EUR;Color;Color:FHR 20 MEDIUM CLUB SERIES 3 FIA
FHR CLUB SERIES 3 20° M;fhr-club-series-3-20-m;;2410002;32150;EUR;Color;Color:FHR 20 MEDIUM CLUB SERIES 3 FIA/SFI
FHR CLUB SERIES 3 20° L;fhr-club-series-3-20-l;;2410003;30750;EUR;Color;Color:FHR 20 LARGE CLUB SERIES 3 FIA
FHR CLUB SERIES 3 20° L;fhr-club-series-3-20-l;;2410004;32150;EUR;Color;Color:FHR 20 LARGE CLUB SERIES 3 FIA/SFI
FHR FEATHERLITE 20° M;fhr-featherlite-20-m;;2410005;144100;EUR;Color;Color:FHR 20 MEDIUM FEATHERLITE FIA
FHR FEATHERLITE 20° M;fhr-featherlite-20-m;;2410006;144500;EUR;Color;Color:FHR 20 MEDIUM FEATHERLITE FIA/SFI
FHR FEATHERLITE 20° L;fhr-featherlite-20-l;;2410007;144100;EUR;Color;Color:FHR 20 LARGE FEATHERLITE FIA
FHR FEATHERLITE 20° L;fhr-featherlite-20-l;;2410008;144500;EUR;Color;Color:FHR 20 LARGE FEATHERLITE FIA/SFI
FHR FEATHERLITE 30° M;fhr-featherlite-30-m;;2410009;144100;EUR;Color;Color:FHR 30 MEDIUM FEATHERLITE FIA
FHR FEATHERLITE 30° M;fhr-featherlite-30-m;;2410010;144500;EUR;Color;Color:FHR 30 MEDIUM FEATHERLITE FIA/SFI
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-L;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:L
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-M;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:M
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-S;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:S
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-XL;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:XL
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-XS;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:XS
GP-R Helmet;gp-r-helmet;;SC0-0799-B01-020-XXS;42000;EUR;Color|Size;Color:GP-R HELMET WHITE|Size:XXS
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-L;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:L
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-M;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:M
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-S;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:S
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-XL;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:XL
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-XS;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:XS
GP-R K Helmet;gp-r-k-helmet;;SC0-0799-B02-020-XXS;38000;EUR;Color|Size;Color:GP-R K HELMET WHITE|Size:XXS
KJ-8 EVO;kj-8-evo;;SC0-0790-B01-020-L;36500;EUR;Color|Size;Color:KJ8 EVO CMR HELMET WHITE|Size:L
KJ-8 EVO;kj-8-evo;;SC0-0790-B01-020-M;36500;EUR;Color|Size;Color:KJ8 EVO CMR HELMET WHITE|Size:M
KJ-8 EVO;kj-8-evo;;SC0-0790-B01-020-S;36500;EUR;Color|Size;Color:KJ8 EVO CMR HELMET WHITE|Size:S
KJ-8 EVO;kj-8-evo;;SC0-0790-B01-020-XS;36500;EUR;Color|Size;Color:KJ8 EVO CMR HELMET WHITE|Size:XS
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-L;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:L
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-M;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:M
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-S;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:S
Circuit EVO2;circuit-evo2;;SC0-0616-A01-020-XL;10500;EUR;Color|Size;Color:CIRCUIT EVO2 WHITE|Size:XL
